Difficulty/Dice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0.5,0.75,0.8750000000000001,0.9375000000000002,0.9687500000000001,0.9843750000000001,0.9921874999999999,0.9960937500000003,0.9980468750000002,0.9990234375000003,0.9995117187500007,0.9997558593750007,0.9998779296875,0.99993896484375,0.9999694824218757,0.9999847412109383,0.9999923706054693,0.9999961853027349,0.9999980926513675,0.999999046325685
2,0,0.25000000000000006,0.5000000000000001,0.6875000000000002,0.8125000000000001,0.8906250000000001,0.9375000000000001,0.9648437500000003,0.9804687500000002,0.9892578125000003,0.9941406250000007,0.9968261718750007,0.9982910156250002,0.99908447265625,0.9995117187500007,0.9997406005859383,0.999862670898438,0.9999275207519537,0.9999618530273441,0.9999799728393569
3,0,0.010000000000000002,0.14000000000000004,0.32750000000000007,0.5125,0.6656250000000002,0.7800000000000001,0.8598437500000004,0.9129687500000002,0.9470703125000003,0.9683593750000006,0.9813574218750006,0.9891503906250001,0.9937524414062501,0.9964355468750006,0.9979827880859383,0.9988665771484381,0.9993672180175787,0.9996487426757815,0.9998060226440443
4,0,0.010000000000000002,0.028000000000000008,0.10350000000000004,0.2325000000000001,0.38562500000000016,0.535,0.6638437500000002,0.7659687500000001,0.8420703125000003,0.8961718750000005,0.9332324218750007,0.9578691406250002,0.97384619140625,0.9839941406250007,0.9903265380859382,0.9942181396484381,0.9965781555175787,0.9979927368164067,0.9988319015502943
5,0,0,0.013000000000000005,0.037300000000000014,0.09200000000000004,0.18425000000000002,0.3044375000000001,0.43546875000000007,0.5615562500000001,0.6723125000000004,0.7630976562500005,0.8335878906250006,0.8859882812500002,0.9235740234375001,0.9497409667968755,0.9675032958984379,0.9793016357421881,0.9869923095703131,0.9919234405517582,0.9950394973754896
6,0,0,0,0.011300000000000004,0.03646000000000002,0.08263000000000004,0.15504000000000007,0.25143875000000004,0.3630537500000002,0.478685,0.5883987500000005,0.6854419531250004,0.7665274218750002,0.8311734765625001,0.8807293750000005,0.9174746240234379,0.943954584960938,0.962571079101563,0.9753793505859379,0.9840251797485366
7,0,0,0,0.00010000000000000002,0.008460000000000004,0.030390000000000014,0.07020000000000001,0.1307587500000001,0.2114337500000001,0.3075350000000001,0.41168375000000024,0.5159457031250004,0.6136067968750001,0.7001050390625001,0.7731645312500005,0.8324180615234379,0.8788206787109382,0.9140692822265631,0.940139545898438,0.9589721768188492
8,0,0,0,0.00010000000000000002,0.0004600000000000001,0.006390000000000002,0.02369440000000001,0.05673635000000003,0.10788335000000006,0.17695100000000005,0.2610057500000002,0.354932103125,0.4525816468750001,0.5480173890625003,0.6364475937500004,0.7146835615234378,0.781163541210938,0.8356892947265632,0.8790350115234379,0.912551020568849
9,0,0,0,0,0.00021000000000000006,0.0008950000000000003,0.005336900000000002,0.018492770000000016,0.044882240000000025,0.08730447500000006,0.14627753750000005,0.21999314375000006,0.30472871843750005,0.39560747515625017,0.48748934335937505,0.5757575279296878,0.6568440884765631,0.7284502579687503,0.7895069629101565,0.8399655276855482
10,0,0,0,0,0,0.0002650000000000001,0.0011880000000000007,0.004837170000000002,0.014958922000000006,0.035694885000000016,0.07021504,0.11986624875000006,0.18391905625000018,0.2598034943437502,0.34367043375000006,0.4310969973046877,0.517765352617188,0.599988739296875,0.6750233513828127,0.7411670573339855
